trace_id,document_id,chunk_id,document_title,page_number,citation_type,is_visual_source,is_valid,validation_notes,created_at
db384ee6-2790-4dcd-ac32-373077b7b7de,acd7335a-936e-4875-9fa0-179bac1d0130,76414c29-2f7b-46a6-910c-298257488bab,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,,text,f,t,,2026-07-14 06:18:24.896561+00
dfad8588-993d-420d-828d-478a16ca7a56,ff8697c1-0e5f-4679-9092-bfedd314a469,7585ca0d-8961-48d3-ab1e-c81b830d3add,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:17:31.756915+00
dfad8588-993d-420d-828d-478a16ca7a56,7144e2d1-ee71-4d3b-80a6-6b927c3b54ae,e14246b3-cd06-44eb-91b1-b021a8ae46be,Panduan SPMB Jalur Mandiri 2026 (Uji),,text,f,t,,2026-07-14 06:17:31.756915+00
eab816b9-47ce-45f6-9034-504bd7544aa4,7c223294-5606-4b4b-bb32-4c561a34b059,fa2a5fa4-6d47-4fc9-9ab5-5d6d3c7b818c,PENGUMUMAN  PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026,,text,f,t,,2026-07-14 06:20:19.235032+00
eab816b9-47ce-45f6-9034-504bd7544aa4,d53cdd48-fcba-4744-8460-81adc4e72d8c,3c541d2d-ecac-4238-960b-6eb053fd16c7,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,,text,f,t,,2026-07-14 06:20:19.235032+00
f0bbee8a-b69b-42a0-8db7-8e81e4a70697,ff8697c1-0e5f-4679-9092-bfedd314a469,67191532-7ddf-4462-83dc-203202095990,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:20:10.297321+00
f18c34e5-b95a-470e-b2d3-31c7f8a8c2e5,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:17:51.711247+00
f18c34e5-b95a-470e-b2d3-31c7f8a8c2e5,560d3780-2791-4747-892d-a91d4466c932,3f2e57c4-4810-4bbb-b5e7-1de3a7ef91b0,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:17:51.711247+00
f18c34e5-b95a-470e-b2d3-31c7f8a8c2e5,560d3780-2791-4747-892d-a91d4466c932,649ae7af-53ef-45a1-bb44-c4e79d5efac5,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:17:51.711247+00
f18c34e5-b95a-470e-b2d3-31c7f8a8c2e5,560d3780-2791-4747-892d-a91d4466c932,6e36d60c-deee-417c-b0bd-b1fb925985b1,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:17:51.711247+00
f3932716-a404-41a6-8c54-cd466f77685f,d53cdd48-fcba-4744-8460-81adc4e72d8c,3c541d2d-ecac-4238-960b-6eb053fd16c7,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,,text,f,t,,2026-07-14 06:19:54.167943+00
f875899b-25ce-4edc-b7c3-6835fba81e9b,fc8ee7ca-220b-4027-a24b-806ea307a6ea,3590da8e-1207-486e-a268-e8080266f73d,HASIL SELEKSI TAHAP III (AKHIR)  SPMB JALUR MANDIRI  PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3,,text,f,t,,2026-07-14 06:19:49.396947+00
f875899b-25ce-4edc-b7c3-6835fba81e9b,ff8697c1-0e5f-4679-9092-bfedd314a469,d0785f81-7a95-4cdd-ab9d-3125836bc380,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:19:49.396947+00
f875899b-25ce-4edc-b7c3-6835fba81e9b,dcdc6460-5d76-4ba4-8894-5150b991e3f1,ea692338-a595-4ef3-930b-ffa13f0ef5f8,HASIL SELEKSI TAHAP IV SPMB MANDIRI PRODI SARJANA TERAPAN (RPL) GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,,text,f,t,,2026-07-14 06:19:49.396947+00
